id,componentnumber,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted degree,degree,modularity_class,pageranks,clustering,triangles,eigencentrality,
Heath Ledger,0,20,0.118598383,0.155612597,0,1,1,4,0.001090598,0,0,0.174036958,
The Godfather: Part II,0,13,0.140239044,0.189803457,3701.64768,4,4,7,0.003310718,0,0,0.447780658,
Robert De Niro,0,12,0.147651007,0.196431441,3747.5279,4,4,10,0.003666869,0,0,0.37054663,
The Lord of the Rings: The Return of the King,2,3,0.636363636,0.761904762,7,4,4,8,0.003287978,0,0,0.297958973,
Peter Jackson,2,2,0.636363636,0.714285714,2.25,3,3,8,0.002380025,0,0,0.292636162,
Orlando Bloom,2,2,0.636363636,0.714285714,2.25,3,3,8,0.002380025,0,0,0.292636162,
Billy Boyd,2,2,0.636363636,0.714285714,2.25,3,3,8,0.002380025,0,0,0.292636162,
Bernard Hill,2,4,0.411764706,0.488095238,0,1,1,8,0.00106216,0,0,0.092054172,
Schindler's List,0,17,0.14953271,0.197894622,1429.845987,4,4,1,0.004042275,0,0,0.251262673,
Steven Spielberg,0,16,0.15942029,0.215575255,3635.11125,4,4,1,0.003687592,0,0,0.422333186,
Liam Neeson,0,18,0.144026187,0.19016709,1149.798368,2,2,4,0.001927206,0,0,0.259475815,
Embeth Davidtz,0,18,0.130177515,0.158986985,0,1,1,1,0.001222742,0,0,0.078267497,
Caroline Goodall,0,18,0.130177515,0.158986985,0,1,1,1,0.001222742,0,0,0.078267497,
Pulp Fiction,0,19,0.114359974,0.156979863,522,4,4,10,0.004666059,0,0,0.16614131,
Quentin Tarantino,0,18,0.128467153,0.182100015,1518.842918,5,4,10,0.003995972,0,0,0.290396031,
Bruce Willis,0,20,0.102683781,0.128805424,0,1,1,10,0.001355326,0,0,0.060144848,
Eric Stoltz,0,20,0.102683781,0.128805424,0,1,1,10,0.001355326,0,0,0.060144848,
Phil LaMarr,0,20,0.102683781,0.128805424,0,1,1,10,0.001355326,0,0,0.060144848,
The Good, the Bad and the Ugly,0,15,0.128749086,0.17345549,1345.935104,5,5,2,0.005499504,0,0,0.204688423
Sergio Leone,0,14,0.128654971,0.172463458,1508.087485,3,3,2,0.003206202,0,0,0.2060677,
Clint Eastwood,0,16,0.130177515,0.169094889,1118.854151,3,2,2,0.002162836,0,0,0.148547629,
Luigi Pistilli,0,16,0.114137484,0.139971124,0,1,1,2,0.001298731,0,0,0.073627156,
Enzo Petito,0,16,0.114137484,0.139971124,0,1,1,2,0.001298731,0,0,0.073627156,
12 Angry Men,3,1,1,1,6,4,4,3,0.005756168,0,0,0.071381517,
Sidney Lumet,3,2,0.571428571,0.625,0,1,1,3,0.001587592,0,0,0.035444876,
Jack Warden,3,2,0.571428571,0.625,0,1,1,3,0.001587592,0,0,0.035444876,
Lee J. Cobb,3,2,0.571428571,0.625,0,1,1,3,0.001587592,0,0,0.035444876,
John Fiedler,3,2,0.571428571,0.625,0,1,1,3,0.001587592,0,0,0.035444876,
Inception,0,17,0.143205858,0.199487048,1479.757914,4,4,4,0.003332161,0,0,0.52375525,
Leonardo DiCaprio,0,16,0.155752212,0.206362593,3362.09314,3,3,10,0.00267623,0,0,0.320875196,
Tom Hardy,0,18,0.125714286,0.163546173,33.10662393,2,2,4,0.001767717,0,0,0.300665929,
Joseph Gordon-Levitt,0,18,0.125714286,0.163546173,33.10662393,2,2,4,0.001767717,0,0,0.300665929,
The Lord of the Rings: The Fellowship of the Ring,2,3,0.636363636,0.761904762,3.5,4,4,8,0.003099593,0,0,0.329318272,
Christopher Lee,2,4,0.466666667,0.583333333,0.25,2,2,8,0.001681061,0,0,0.200581991,
Fight Club,0,21,0.109520846,0.15667466,363.9365079,4,4,5,0.004184646,0,0,0.216558995,
David Fincher,0,20,0.115942029,0.157887232,165.1214286,2,2,5,0.002054344,0,0,0.18254879,
Brad Pitt,0,20,0.122392211,0.182824448,1377.936386,4,4,5,0.003861423,0,0,0.338476867,
